Composition,Density,EquiTibrium conditions,Single/Muplitple_Phase,PhaseType,Reference,Tension0/Compression1,TestTempC,YieldStr(MPa),YieldStr(MPa)/density,Ductility (%),Hardness (HV),HIP,Anneal,CR,SPS,SPD,Grain Size (um),Strain Rate (s-1),Arc Melting,Melt Cooling Rate (degC/min),HIP Temp (degC),HIP Pressure (MPa),HIP Time (h),Anneal Temp (degC),Anneal Time (h),Anneal Cooling Rate (degC/min),Final CR DeformPercentage,SPS Temp (degC),SPS Pressure (MPa),SPS Hold Time (min),composition,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Yang omega,Yang delta,Yang Ent,Yang Hmix,Yang Tm,Yang Hmax,Yang Tmax,Yang Phi,Yang delXi,Yang HPSigma,Yang HPSigma_min,Yang HPSigma_min05,Yang HPK,Yang VEC,Yang sigma_SS_Liaw,dr H,dr He,dr Li,dr Be,dr B,dr C,dr N,dr O,dr F,dr Ne,dr Na,dr Mg,dr Al,dr Si,dr P,dr S,dr Cl,dr Ar,dr K,dr Ca,dr Sc,dr Ti,dr V,dr Cr,dr Mn,dr Fe,dr Co,dr Ni,dr Cu,dr Zn,dr Ga,dr Ge,dr As,dr Se,dr Br,dr Kr,dr Rb,dr Sr,dr Y,dr Zr,dr Nb,dr Mo,dr Tc,dr Ru,dr Rh,dr Pd,dr Ag,dr Cd,dr In,dr Sn,dr Sb,dr Te,dr I,dr Xe,dr Cs,dr Ba,dr La,dr Ce,dr Pr,dr Nd,dr Pm,dr Sm,dr Eu,dr Gd,dr Tb,dr Dy,dr Ho,dr Er,dr Tm,dr Yb,dr Lu,dr Hf,dr Ta,dr W,dr Re,dr Os,dr Ir,dr Pt,dr Au,dr Hg,dr Tl,dr Pb,dr Bi,dr Po,dr At,dr Rn,dr Fr,dr Ra,dr Ac,dr Th,dr Pa,dr U,dr Np,dr Pu,dr Am,dr Cm,dr Bk,dr Cf,dr Es,dr Fm,dr Md,dr No,dr Lr,dG H,dG He,dG Li,dG Be,dG B,dG C,dG N,dG O,dG F,dG Ne,dG Na,dG Mg,dG Al,dG Si,dG P,dG S,dG Cl,dG Ar,dG K,dG Ca,dG Sc,dG Ti,dG V,dG Cr,dG Mn,dG Fe,dG Co,dG Ni,dG Cu,dG Zn,dG Ga,dG Ge,dG As,dG Se,dG Br,dG Kr,dG Rb,dG Sr,dG Y,dG Zr,dG Nb,dG Mo,dG Tc,dG Ru,dG Rh,dG Pd,dG Ag,dG Cd,dG In,dG Sn,dG Sb,dG Te,dG I,dG Xe,dG Cs,dG Ba,dG La,dG Ce,dG Pr,dG Nd,dG Pm,dG Sm,dG Eu,dG Gd,dG Tb,dG Dy,dG Ho,dG Er,dG Tm,dG Yb,dG Lu,dG Hf,dG Ta,dG W,dG Re,dG Os,dG Ir,dG Pt,dG Au,dG Hg,dG Tl,dG Pb,dG Bi,dG Po,dG At,dG Rn,dG Fr,dG Ra,dG Ac,dG Th,dG Pa,dG U,dG Np,dG Pu,dG Am,dG Cm,dG Bk,dG Cf,dG Es,dG Fm,dG Md,dG No,dG Lr
AlCrMoTi,6,A,s,BCC,13,1,600,1020,170.5,,,0,1,0,0,0,,0.001,1,,25,,0,1200,20,4.2,0,,,,Al1 Cr1 Mo1 Ti1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63632759,0.046812552,0.011525651,-14,1987.6175,0,2896,4.423065465,0.140478087,212.5,10,145,427.5,4.75,2486.28839,0,0,0,0,0,0,0,0,0,0,0,0,-0.036682894,0,0,0,0,0,0,0,0,-0.060016154,0,0.076953662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019745386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397010654,0,0,0,0,0,0,0,0,-0.051486123,0,-0.978443391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63291886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlCrMoTi,6,A,s,BCC,13,1,400,1070,178.9,,662.8,0,1,0,0,0,,0.001,1,,25,,0,1200,20,4.2,0,,,,Al1 Cr1 Mo1 Ti1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63632759,0.046812552,0.011525651,-14,1987.6175,0,2896,4.423065465,0.140478087,212.5,10,145,427.5,4.75,2486.28839,0,0,0,0,0,0,0,0,0,0,0,0,-0.036682894,0,0,0,0,0,0,0,0,-0.060016154,0,0.076953662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019745386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397010654,0,0,0,0,0,0,0,0,-0.051486123,0,-0.978443391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63291886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMoNbTi,6.5,A,s,BCC,13,1,1200,200,31,,,0,1,0,0,0,,0.001,1,,25,,0,1500,20,4.2,0,,,,Al1 Mo1 Nb1 Ti1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609901087,0.025874892,0.011525651,-15.25,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,10,111.6666667,312.5,4.5,793.9831613,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0,0,0,0,0,0,0,0,-0.031625009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0.048172615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219496083,0,0,0,0,0,0,0,0,-0.259551074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.435233387,0.475288378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMoNbTi,6.5,A,s,BCC,13,1,1000,540,83.6,,,0,1,0,0,0,,0.001,1,,25,,0,1500,20,4.2,0,,,,Al1 Mo1 Nb1 Ti1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609901087,0.025874892,0.011525651,-15.25,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,10,111.6666667,312.5,4.5,793.9831613,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0,0,0,0,0,0,0,0,-0.031625009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0.048172615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219496083,0,0,0,0,0,0,0,0,-0.259551074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.435233387,0.475288378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMoNbTi,6.5,A,s,BCC,13,1,800,500,77.4,,,0,1,0,0,0,,0.001,1,,25,,0,1500,20,4.2,0,,,,Al1 Mo1 Nb1 Ti1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609901087,0.025874892,0.011525651,-15.25,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,10,111.6666667,312.5,4.5,793.9831613,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0,0,0,0,0,0,0,0,-0.031625009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0.048172615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219496083,0,0,0,0,0,0,0,0,-0.259551074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.435233387,0.475288378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMoNbTi,6.5,A,s,BCC,13,1,600,520,80.5,,458.9,0,1,0,0,0,,0.001,1,,25,,0,1500,20,4.2,0,,,,Al1 Mo1 Nb1 Ti1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609901087,0.025874892,0.011525651,-15.25,2130.1175,0.125,2896,4.699292203,0.145374775,162.5,10,111.6666667,312.5,4.5,793.9831613,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0,0,0,0,0,0,0,0,-0.031625009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008273803,0.048172615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219496083,0,0,0,0,0,0,0,0,-0.259551074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.435233387,0.475288378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,14,1,25,2000,279.8,,591.4,1,1,0,0,0,75,0.001,1,,1400,207,2,1400,24,10,0,,,,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871994062,0.050047061,0.014533432,-16.84,2169.094,0.16,3290,5.017130868,0.137556471,159,10,103.125,319,5.7,1187.974036,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0.000931311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10195029,0.024273644,0.08066974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397385763,0,0,0,0,0,0,0,0,-0.08112206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143153196,-0.26073399,0.646224039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.470977072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,14,1,1200,250,35,,,1,1,0,0,0,75,0.001,1,,1400,207,2,1400,24,10,0,,,,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871994062,0.050047061,0.014533432,-16.84,2169.094,0.16,3290,5.017130868,0.137556471,159,10,103.125,319,5.7,1187.974036,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0.000931311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10195029,0.024273644,0.08066974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397385763,0,0,0,0,0,0,0,0,-0.08112206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143153196,-0.26073399,0.646224039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.470977072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,14,1,1000,745,104.2,,,1,1,0,0,0,75,0.001,1,,1400,207,2,1400,24,10,0,,,,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871994062,0.050047061,0.014533432,-16.84,2169.094,0.16,3290,5.017130868,0.137556471,159,10,103.125,319,5.7,1187.974036,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0.000931311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10195029,0.024273644,0.08066974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397385763,0,0,0,0,0,0,0,0,-0.08112206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143153196,-0.26073399,0.646224039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.470977072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,14,1,800,1597,223.4,,,1,1,0,0,0,75,0.001,1,,1400,207,2,1400,24,10,0,,,,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871994062,0.050047061,0.014533432,-16.84,2169.094,0.16,3290,5.017130868,0.137556471,159,10,103.125,319,5.7,1187.974036,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0.000931311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10195029,0.024273644,0.08066974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397385763,0,0,0,0,0,0,0,0,-0.08112206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143153196,-0.26073399,0.646224039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.470977072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlMo0.5NbTa0.5TiZr,7.1,HIP+A,M,BCC+B2,14,1,600,1870,261.6,,,1,1,0,0,0,75,0.001,1,,1400,207,2,1400,24,10,0,,,,Al1 Mo0.5 Nb1 Ta0.5 Ti1 Zr1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.871994062,0.050047061,0.014533432,-16.84,2169.094,0.16,3290,5.017130868,0.137556471,159,10,103.125,319,5.7,1187.974036,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0.000931311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10195029,0.024273644,0.08066974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024273644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.397385763,0,0,0,0,0,0,0,0,-0.08112206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.143153196,-0.26073399,0.646224039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.470977072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlNbTiV,5.5,A,s,BCC,15,1,25,1020,185.6,5.09,448,0,1,0,0,0,350,0.001,1,,25,,0,1200,24,10,0,,,,Al1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384402722,0.03786198,0.011525651,-16.25,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,10,75,250,4.25,1284.705743,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,-0.040005539,0.073327338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458453838,0,0,0,0,0,0,0,0,-0.021790295,-0.233232916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203430627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlNbTiV,5.5,A,s,BCC,15,1,1000,158,28.7,,,0,1,0,0,0,350,0.001,1,,25,,0,1200,24,10,0,,,,Al1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384402722,0.03786198,0.011525651,-16.25,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,10,75,250,4.25,1284.705743,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,-0.040005539,0.073327338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458453838,0,0,0,0,0,0,0,0,-0.021790295,-0.233232916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203430627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AlNbTiV,5.5,A,s,BCC,15,1,800,685,124.6,,,0,1,0,0,0,350,0.001,1,,25,,0,1200,24,10,0,,,,Al1 Nb1 Ti1 V1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384402722,0.03786198,0.011525651,-16.25,1951.8675,0.125,2750,4.813901909,0.021028852,107.5,10,75,250,4.25,1284.705743,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,-0.040005539,0.073327338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458453838,0,0,0,0,0,0,0,0,-0.021790295,-0.233232916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203430627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
